epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
126,1252.78,0.63497,0.37476,0.9704,0.00412,0.98886,0.98924,0.9875,0.82592,0.58746,0.29839,0.97867,0.00275,0.00029694,0.00029694,0.00029694
127,1262.56,0.64335,0.37689,0.97194,0.00394,0.9888,0.98622,0.98752,0.82207,0.60159,0.29757,0.98552,0.00286,0.000294612,0.000294612,0.000294612
128,1272.16,0.64539,0.36852,0.97569,0.00372,0.98938,0.98933,0.98839,0.82687,0.58909,0.29759,0.97879,0.00264,0.000292283,0.000292283,0.000292283
129,1281.72,0.64767,0.3799,0.97479,0.00364,0.99065,0.98978,0.98832,0.83036,0.58537,0.29393,0.97715,0.00279,0.000289955,0.000289955,0.000289955
130,1291.51,0.64096,0.373,0.96628,0.00393,0.99089,0.98798,0.98797,0.82219,0.59395,0.29784,0.98058,0.00259,0.000287626,0.000287626,0.000287626
131,1301.26,0.62855,0.36563,0.96703,0.00359,0.99,0.9878,0.98799,0.8197,0.60317,0.30291,0.98842,0.00263,0.000285298,0.000285298,0.000285298
132,1310.83,0.6436,0.37228,0.98243,0.00396,0.99044,0.9882,0.98842,0.82025,0.601,0.30413,0.98145,0.0026,0.000282969,0.000282969,0.000282969
133,1320.44,0.64139,0.36709,0.97061,0.00396,0.98931,0.98903,0.9884,0.82729,0.59104,0.29456,0.98083,0.00291,0.000280641,0.000280641,0.000280641
134,1330.15,0.63349,0.3656,0.9671,0.00386,0.98862,0.98944,0.98931,0.82494,0.59848,0.29683,0.98765,0.00271,0.000278312,0.000278312,0.000278312
135,1339.85,0.63606,0.36972,0.96403,0.00391,0.9919,0.989,0.98903,0.82135,0.60116,0.29543,0.98769,0.00269,0.000275984,0.000275984,0.000275984
