epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
77,815.745,0.4067,0.2568,1.03453,0.00117,0.99993,1,0.995,0.95103,0.32327,0.20775,0.98666,0.00182,0.00139808,0.00139808,0.00139808
78,824.529,0.41825,0.26872,1.0358,0.00122,0.99992,1,0.995,0.9394,0.34417,0.22243,0.99036,0.002,0.00139016,0.00139016,0.00139016
79,833.298,0.40662,0.26347,1.03807,0.00112,0.99989,1,0.995,0.94813,0.32911,0.21366,0.97996,0.00209,0.00138224,0.00138224,0.00138224
80,842.374,0.41178,0.26148,1.03521,0.00112,0.99989,1,0.995,0.93972,0.34762,0.21748,1.00803,0.00192,0.00137432,0.00137432,0.00137432
81,851.863,0.41387,0.26013,1.03241,0.00148,0.99994,1,0.995,0.94202,0.33116,0.21016,1.0023,0.00217,0.0013664,0.0013664,0.0013664
82,861.224,0.4044,0.25513,1.02846,0.00102,0.99994,1,0.995,0.94547,0.33849,0.21633,0.99071,0.00219,0.00135848,0.00135848,0.00135848
83,870.572,0.41117,0.26031,1.03269,0.00134,0.99994,1,0.995,0.9426,0.33224,0.20579,0.97873,0.00203,0.00135056,0.00135056,0.00135056
84,879.642,0.39873,0.25559,1.028,0.0011,0.99992,1,0.995,0.94713,0.33244,0.2113,0.98142,0.00166,0.00134264,0.00134264,0.00134264
85,889.168,0.41009,0.26475,1.03912,0.00114,0.99992,1,0.995,0.94442,0.34071,0.22814,0.99042,0.00139,0.00133472,0.00133472,0.00133472
86,898.42,0.40782,0.26082,1.0304,0.00109,0.99994,1,0.995,0.94676,0.3275,0.20935,0.99135,0.00203,0.0013268,0.0013268,0.0013268
87,908.127,0.40537,0.25627,1.03263,0.0011,0.99994,1,0.995,0.94226,0.33581,0.21084,0.99766,0.00186,0.00131888,0.00131888,0.00131888
88,917.983,0.39935,0.24965,1.02774,0.00148,0.99888,1,0.995,0.94605,0.32751,0.2034,1.00234,0.00183,0.00131096,0.00131096,0.00131096
89,927.331,0.40308,0.25467,1.02936,0.00138,0.99994,1,0.995,0.94087,0.34066,0.20963,0.97697,0.00177,0.00130304,0.00130304,0.00130304
90,936.402,0.40175,0.25579,1.02627,0.00118,0.99994,1,0.995,0.95084,0.31966,0.20284,0.98092,0.00208,0.00129512,0.00129512,0.00129512
91,946.071,0.39867,0.2489,1.02503,0.00134,0.99994,1,0.995,0.95157,0.32362,0.19913,0.97495,0.00193,0.0012872,0.0012872,0.0012872
92,955.649,0.39882,0.2497,1.02753,0.001,0.99979,1,0.995,0.94699,0.32293,0.19906,0.98006,0.00157,0.00127928,0.00127928,0.00127928
93,964.94,0.39954,0.25075,1.03305,0.0012,0.99953,1,0.995,0.95004,0.32817,0.20867,0.98686,0.00162,0.00127136,0.00127136,0.00127136
94,974.368,0.40219,0.25312,1.03099,0.00096,0.99875,1,0.99496,0.94794,0.32501,0.20949,0.99506,0.00163,0.00126344,0.00126344,0.00126344
95,983.541,0.40884,0.25785,1.03063,0.00091,0.99816,0.99901,0.99497,0.94156,0.33797,0.21912,0.99332,0.00142,0.00125552,0.00125552,0.00125552
96,992.73,0.39993,0.25427,1.03595,0.00154,0.99983,1,0.995,0.95375,0.31758,0.20545,0.97844,0.00176,0.0012476,0.0012476,0.0012476
97,1001.73,0.39303,0.24666,1.0179,0.0011,0.99993,1,0.995,0.95046,0.32073,0.1961,0.98985,0.00161,0.00123968,0.00123968,0.00123968
98,1010.74,0.39107,0.24524,1.02179,0.00113,0.99994,1,0.995,0.94937,0.322,0.19653,0.98186,0.00191,0.00123176,0.00123176,0.00123176
99,1019.75,0.39425,0.24924,1.02052,0.00099,0.99988,1,0.995,0.94866,0.32908,0.20148,0.98321,0.00207,0.00122384,0.00122384,0.00122384
100,1029.02,0.39538,0.24931,1.03336,0.00121,0.99994,1,0.995,0.95097,0.32526,0.20369,0.97959,0.00211,0.00121592,0.00121592,0.00121592
101,1038.4,0.40714,0.25058,1.03344,0.00156,0.99993,1,0.995,0.94662,0.33156,0.20921,0.98688,0.00172,0.001208,0.001208,0.001208
102,1047.63,0.39123,0.24462,1.02489,0.00127,0.99994,1,0.995,0.95151,0.31416,0.1988,0.9833,0.00176,0.00120008,0.00120008,0.00120008
103,1056.73,0.39536,0.24738,1.02189,0.00159,0.99951,1,0.995,0.94258,0.33035,0.20557,0.99607,0.00175,0.00119216,0.00119216,0.00119216
104,1066.16,0.4013,0.25338,1.03801,0.0013,0.99983,1,0.995,0.94939,0.32408,0.21291,0.98508,0.00151,0.00118424,0.00118424,0.00118424
105,1075.39,0.40639,0.25394,1.02864,0.00106,0.99994,1,0.995,0.95137,0.32969,0.21663,0.98256,0.00186,0.00117632,0.00117632,0.00117632
106,1084.85,0.40168,0.25069,1.0335,0.00123,0.99993,1,0.995,0.95004,0.31861,0.20118,0.98147,0.00176,0.0011684,0.0011684,0.0011684
107,1094.36,0.39413,0.24554,1.01966,0.0011,0.99979,1,0.995,0.95149,0.31935,0.19995,0.97646,0.00179,0.00116048,0.00116048,0.00116048
108,1103.46,0.39792,0.24786,1.02803,0.00113,0.99993,1,0.995,0.94782,0.32337,0.2012,0.97146,0.0016,0.00115256,0.00115256,0.00115256
109,1112.58,0.39721,0.24923,1.02412,0.0011,0.99994,1,0.995,0.94843,0.32822,0.20457,0.98106,0.00197,0.00114464,0.00114464,0.00114464
